"","HCR_name","beta","2018","2019","2020","2021","2022","2023","2028","2038","stat_name"
"56","Btarget0-Blimit1-Bban0",0.9,0,0,9,88,100,100,100,100,"Pr(SSB>SSBlow)"
"57","Btarget0-Blimit1-Bban0",0.8,0,0,15,92,100,100,100,100,"Pr(SSB>SSBlow)"
"58","Btarget0-Blimit1-Bban0",0.7,0,0,21,97,100,100,100,100,"Pr(SSB>SSBlow)"
"59","Btarget0-Blimit1-Bban0",0.6,0,0,37,98,100,100,100,100,"Pr(SSB>SSBlow)"
"60","Btarget0-Blimit1-Bban0",0.5,0,0,44,100,100,100,100,100,"Pr(SSB>SSBlow)"
"61","Btarget1-Blimit0-Bban0",1,0,0,5,59,94,98,100,100,"Pr(SSB>SSBlow)"
"62","Btarget1-Blimit0-Bban0",0.9,0,0,8,80,97,99,100,100,"Pr(SSB>SSBlow)"
"63","Btarget1-Blimit0-Bban0",0.8,0,0,13,90,99,100,100,100,"Pr(SSB>SSBlow)"
"64","Btarget1-Blimit0-Bban0",0.7,0,0,20,95,100,100,100,100,"Pr(SSB>SSBlow)"
"65","Btarget1-Blimit0-Bban0",0.6,0,0,38,98,100,100,100,100,"Pr(SSB>SSBlow)"
"66","Btarget1-Blimit0-Bban0",0.5,0,0,47,100,100,100,100,100,"Pr(SSB>SSBlow)"
"67","Btarget1-Blimit1-Bban0",1,0,0,1,36,85,96,100,100,"Pr(SSB>SSBlow)"
"68","Btarget1-Blimit1-Bban0",0.9,0,0,3,53,94,98,100,100,"Pr(SSB>SSBlow)"
"69","Btarget1-Blimit1-Bban0",0.8,0,0,5,74,97,99,100,100,"Pr(SSB>SSBlow)"
"70","Btarget1-Blimit1-Bban0",0.7,0,0,11,90,100,100,100,100,"Pr(SSB>SSBlow)"
"71","Btarget1-Blimit1-Bban0",0.6,0,0,19,95,100,100,100,100,"Pr(SSB>SSBlow)"
"72","Btarget1-Blimit1-Bban0",0.5,0,0,32,98,100,100,100,100,"Pr(SSB>SSBlow)"
"73","Btarget0-Blimit0-Bban0",1,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"74","Btarget0-Blimit0-Bban0",0.9,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"75","Btarget0-Blimit0-Bban0",0.8,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"76","Btarget0-Blimit0-Bban0",0.7,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"77","Btarget0-Blimit0-Bban0",0.6,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"78","Btarget0-Blimit0-Bban0",0.5,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"79","Btarget0-Blimit1-Bban0",1,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"80","Btarget0-Blimit1-Bban0",0.9,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"81","Btarget0-Blimit1-Bban0",0.8,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"82","Btarget0-Blimit1-Bban0",0.7,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"83","Btarget0-Blimit1-Bban0",0.6,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"84","Btarget0-Blimit1-Bban0",0.5,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"85","Btarget1-Blimit0-Bban0",1,0,2,98,100,100,100,100,100,"Pr(SSB>SSBlim)"
"86","Btarget1-Blimit0-Bban0",0.9,0,2,98,100,100,100,100,100,"Pr(SSB>SSBlim)"
"87","Btarget1-Blimit0-Bban0",0.8,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"88","Btarget1-Blimit0-Bban0",0.7,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"89","Btarget1-Blimit0-Bban0",0.6,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"90","Btarget1-Blimit0-Bban0",0.5,0,2,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"91","Btarget1-Blimit1-Bban0",1,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"92","Btarget1-Blimit1-Bban0",0.9,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"93","Btarget1-Blimit1-Bban0",0.8,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"94","Btarget1-Blimit1-Bban0",0.7,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"95","Btarget1-Blimit1-Bban0",0.6,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
"96","Btarget1-Blimit1-Bban0",0.5,100,89,100,100,100,100,100,100,"Pr(SSB>SSBlim)"
