Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875,0.327334963305875
2,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326,0.642390462837326
3,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557,0.868957520233557
4,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871,0.960751056041871
5,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443,0.989054368578443
6,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178,0.997011012091178
7,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
8,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000
