Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429,134.1571429
3,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915,229.0531915
4,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645,326.286645
5,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871,425.3483871
6,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337,485.1084337
7,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219,544.6518219
8,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299,570.4011299
9,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795,577.7880795
10,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667,688.4666667
