Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963,0.327334963
5,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463,0.642390463
6,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752,0.86895752
7,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056,0.960751056
8,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369,0.989054369
9,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012,0.997011012
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
