Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2,9626.165396063790,18372.648884865200,14807.514708508000,11726.929290356600,1537.085033488560,2916.298560959580,511.017722097998,2746.255746602090,68222.619871790100,10622.618791877800,3296.674529583850,4465.715873768490,12996.275451210500,366.558076066898,9582.267549785060,178.961910344183,2640.196827489290,3436.456007855020,14740.987214029100,276.007560559729,20593.230666258400,11887.370508705300,3197.488606111410,5668.352629533570,6205.165192423920,3640.809697041370,1253.881717259290,12078.406051183600,35500.581849359700,390.968322840192,239.753614158132,69.576429034213
3,39478.292403515700,28004.738761434700,28700.885498114300,32501.234250059500,61194.245038145700,27217.945736340200,13671.292152724900,134736.554729362000,133591.605868979000,148582.228814040000,32813.820003660300,272576.981133132000,90024.876211676800,30344.661722032300,28115.650960196700,41787.770407937900,29807.853385207700,27998.458634639700,15561.472519368800,3132.353768227690,5759.747431923430,46349.649752330000,33981.801672073300,9403.543102098390,22428.737140939300,10172.608766334500,2215.324530055660,6319.904506502520,10719.936072613900,37725.057238281600,1815.184985649330,956.245842599257
4,134394.392342762000,69144.974465462800,40872.520203370800,55191.710766032900,80766.066970918600,66307.959664119300,37131.906712162000,83610.574691125500,270937.571235653000,256779.469811989000,127576.873654978000,113400.262654685000,337003.753090908000,54011.269752259200,35615.857779001400,82654.992929791000,98948.587074221600,20910.285224237800,12919.761431833100,23564.526105082200,9688.143168272010,22588.564536386400,65401.759864283200,7048.320457949380,25840.959751374200,11231.330322052700,3367.652037561660,4555.790894470600,6174.067927941820,7636.469090192670,23342.401770128600,3099.877618455800
5,116416.144509518000,116093.865231802000,70697.805413684400,58493.054313363900,70265.357560755500,75911.384874256700,52579.420418597400,34760.734003912100,37395.172112041000,125341.389892928000,152276.020564893000,97680.174985032900,80962.402472502900,117511.268904982000,45570.726016658700,26126.801668700100,123270.024189455000,48221.960610926000,24210.102162629200,22267.829843319800,9081.796620319510,13970.225687606300,29489.114763870900,14639.878781133400,14369.465821521100,15709.974413654400,7563.108632098390,4084.621035992300,3561.111515123990,3486.217324352860,9913.312698188530,15304.105131087700
6,27773.470053348400,48192.089241928400,41824.833270331700,45612.940182433700,42861.859205265400,48255.054645386600,45145.881945010200,29014.218138184900,21010.916387004800,18834.776825897700,67478.971693102800,80136.467321296700,46018.305579364100,48202.932381651700,50944.195196149300,20565.814181695900,52539.755900502200,48617.316204578200,39211.772731569200,20374.091157088200,10238.831956513600,7773.500924264290,18308.385028185000,11681.482275981400,11532.805242732400,13727.261252935400,8167.746008475050,4915.219715315040,3513.440986737290,2355.114976739160,3477.323318194780,4877.190949983770
7,12161.247470753500,15239.481516622100,23504.517948339500,18814.706990690300,25908.919671815800,31243.708910958500,27423.506432069700,19914.695962006800,18787.658354851100,10828.204805060400,16912.737729367400,26056.826134171000,32186.898436370900,34309.109631019100,20058.041712334600,23786.130457643600,13961.779842289700,33190.618819906900,15837.292015922900,16781.810735455100,12129.655869156100,6761.940132609650,11231.239415783700,9328.592158218990,4832.411493053590,7224.123520837400,7011.771691807690,6276.932160572450,2840.761321006320,2224.158566957180,1901.235759771470,1414.740557487950
8,5423.113874449440,7227.571741670490,8385.810990013220,7689.627965684940,8428.758371801140,11148.741749316400,12792.409358526000,9178.272637297000,7389.908339984920,3850.771837458050,9866.979956697610,9465.855194982300,11319.967686176700,20027.757372851900,9926.640459428350,9556.371629351890,10008.974069578300,15279.877106194100,9505.518781034330,6319.813506402460,11880.560943665300,6199.567744728980,8525.575783524530,8291.983049633900,4043.739989473540,6583.376290104590,5655.167457159010,4616.196558710110,3246.900844574140,1742.873003805250,1350.415428763950,854.897772605005
9,4515.936090183970,8901.301288164910,7799.300768344640,6724.833113599540,6237.756809414800,9610.812347086890,5794.227654259630,6728.806035651630,4751.828304482790,2472.466100896990,4514.349491121520,3722.422897429580,2135.000388049610,6534.511533212470,4315.407812773980,6537.614308836900,1049.071460110050,10444.972475157900,4539.547836306420,3226.421262859270,7050.636657840360,6143.555073225040,7055.915290818720,5570.388260716680,3452.218124502190,2624.564526601820,3362.266726307910,2470.739070768190,2149.513569114270,1429.540870243340,861.946909086812,367.963095561165
10,2247.836770616840,4876.157734459890,5873.029193344110,2396.646436014390,4468.609085853510,3739.226476418610,3901.045702406130,3863.021859479170,2162.662197491880,977.759973370931,3244.833339972890,2599.298988038750,1822.145488395100,3110.674996487190,3075.946645737740,3365.260866079340,1471.232626087380,3208.432764230520,4902.906953372440,3065.614736609630,5285.053311364920,7424.538744454470,6914.560483296220,6665.175910747120,3694.813580172480,4299.661284717940,4989.786367212880,1923.869487080830,1642.090975844560,1125.870787751500,953.640078922950,279.783636111307
